PC1 eigenvalue=861.705308 total=1282.6176609351194
-1.676260804125581649e-02 -1.728031836930751103e-02 6.925790771127116399e-03
-1.739350599674717099e-02 -1.928483186695433352e-02 4.275096156507131838e-03
-1.426489009774212051e-02 -1.377248990701480935e-02 7.285503312912853212e-03
-1.150986030995312936e-02 -1.291488342469774772e-02 1.263917787352903613e-03
-1.519789839077349825e-02 -1.870119459201927473e-02 -1.822834576447702028e-03
-1.463707820734145258e-02 -1.859637345158528937e-02 -3.392688502106836184e-03
-1.780540346978626287e-02 -2.359321668672969066e-02 -5.944216270854766997e-03
-1.442605299960894767e-02 -2.177492287449318484e-02 -1.168680253125504824e-02
-1.076086963715033699e-02 -1.931194231683285717e-02 -1.566169603876267982e-02
-6.342847012750302098e-03 -1.346636018030140589e-02 -1.425378448382150394e-02
-2.695834888833807588e-03 -1.129203982297128685e-02 -2.006604193617712514e-02
1.954060432501436659e-03 -5.958174789409431162e-03 -2.010682196243766470e-02
5.232272944038828498e-03 -2.937876485449533292e-03 -2.420168335384177694e-02
1.013718602053583460e-02 1.403682269035129524e-03 -2.535806484693864035e-02
1.547999676798506551e-02 5.980416987750173871e-03 -2.450228035042781999e-02
2.773707147380439358e-02 9.833857838303990562e-04 -2.682089474284982122e-02
1.750893377320000138e-02 -1.421027708191777150e-02 -3.059690100789519765e-02
3.363314302218772811e-02 1.839568642933222392e-02 1.403912562067203239e-02
1.269335882463170804e-03 -6.103674929325504477e-03 4.636614632826016602e-02
5.889182160116699163e-03 8.139510084442058355e-03 4.770634710549214591e-02
8.286322777507886678e-03 4.170614687777623314e-02 2.476923680820914894e-02
-1.838251975034269417e-03 2.413036656965649243e-02 2.409902772380906680e-02
-2.921831186046630266e-02 3.881221573750615831e-03 1.173637711911144389e-02
-6.549502296338073452e-03 3.169078845147163537e-02 -9.511456172716443091e-04
4.781096568734324696e-03 1.206578661940979277e-02 -1.980950161109633692e-02
9.433397207544472543e-03 9.197143931737169695e-03 -2.267810768372064897e-02
8.565613713225233780e-03 7.752904174130314900e-03 -2.342773916733316419e-02
7.698274607882684036e-03 3.737249555277563293e-03 -1.786112673753989868e-02
8.630158668699865199e-03 6.269001727210208458e-03 -1.516083615118238130e-02
4.799256409976719248e-03 2.349506448173038515e-03 -1.182057203066762957e-02
2.070185936372031556e-03 -2.237584572830427388e-04 -1.019604112259581141e-02
-4.924092467133191209e-04 -5.701605101388919176e-03 -1.445499644988781744e-02
-1.872855255391668410e-03 -6.820970564405653275e-03 -1.230935807943408372e-02
-2.941104153509076485e-03 -5.042069746310666629e-03 -5.470388333216126206e-03
-5.641883478868845066e-03 -8.515479147126706061e-03 -6.032270163758349929e-03
-7.744067507422593838e-03 -1.335768582590006817e-02 -9.886695708942743951e-03
-8.971519405787430415e-03 -1.284991517841642221e-02 -5.244062517911331732e-03
-1.218803493313052114e-02 -1.427130302787430090e-02 -1.567162325486699587e-04
-1.378704398446943188e-02 -1.889158810655479012e-02 -4.437411331070320077e-03
-1.114636861360181544e-02 -1.664926593389398288e-02 -8.126210778700555457e-03
-1.061621906170837591e-02 -1.886033984184282489e-02 -1.494875569285022965e-02
-5.838688753428160003e-03 -1.408546814690436050e-02 -1.761858955361877282e-02
-3.058936956478396866e-03 -1.360838488466520509e-02 -2.431104330322725326e-02
1.990479158495630108e-03 -8.173418658165440553e-03 -2.649430032785365929e-02
3.642300209379208207e-03 -7.881566644439220309e-03 -3.135193697688579834e-02
9.423237356920518420e-03 -4.392144826770626523e-03 -3.636216256169304967e-02
9.783219352953752279e-03 -3.973660405257459054e-03 -3.732454402241230929e-02
1.408154767176619457e-02 -2.732748172418606098e-04 -4.013511319047669695e-02
