PC1 eigenvalue=861.705308 total=1282.6176609351191
-1.676260804125576445e-02 -1.728031836930734796e-02 6.925790771127112930e-03
-1.739350599674718487e-02 -1.928483186695431617e-02 4.275096156507129236e-03
-1.426489009774211357e-02 -1.377248990701478507e-02 7.285503312912864488e-03
-1.150986030995312590e-02 -1.291488342469776507e-02 1.263917787352904915e-03
-1.519789839077351386e-02 -1.870119459201929207e-02 -1.822834576447699860e-03
-1.463707820734146473e-02 -1.859637345158532060e-02 -3.392688502106826643e-03
-1.780540346978623858e-02 -2.359321668672970454e-02 -5.944216270854757456e-03
-1.442605299960896155e-02 -2.177492287449321606e-02 -1.168680253125503957e-02
-1.076086963715033526e-02 -1.931194231683284329e-02 -1.566169603876266248e-02
-6.342847012750300363e-03 -1.346636018030141109e-02 -1.425378448382150394e-02
-2.695834888833809322e-03 -1.129203982297127644e-02 -2.006604193617712861e-02
1.954060432501437961e-03 -5.958174789409429427e-03 -2.010682196243768205e-02
5.232272944038812018e-03 -2.937876485449535460e-03 -2.420168335384172489e-02
1.013718602053582420e-02 1.403682269035130825e-03 -2.535806484693869239e-02
1.547999676798506204e-02 5.980416987750179943e-03 -2.450228035042782346e-02
2.773707147380430338e-02 9.833857838303997068e-04 -2.682089474284981429e-02
1.750893377319999791e-02 -1.421027708191776456e-02 -3.059690100789521153e-02
3.363314302218769342e-02 1.839568642933221004e-02 1.403912562067203412e-02
1.269335882463169720e-03 -6.103674929325514885e-03 4.636614632826015908e-02
5.889182160116698296e-03 8.139510084442068763e-03 4.770634710549213203e-02
8.286322777507886678e-03 4.170614687777628171e-02 2.476923680820913853e-02
-1.838251975034270501e-03 2.413036656965649937e-02 2.409902772380904945e-02
-2.921831186046631654e-02 3.881221573750615397e-03 1.173637711911142828e-02
-6.549502296338065646e-03 3.169078845147164925e-02 -9.511456172716470196e-04
4.781096568734331635e-03 1.206578661940977716e-02 -1.980950161109635427e-02
9.433397207544469074e-03 9.197143931737183573e-03 -2.267810768372065591e-02
8.565613713225223372e-03 7.752904174130331380e-03 -2.342773916733317460e-02
7.698274607882678831e-03 3.737249555277565027e-03 -1.786112673753990909e-02
8.630158668699872138e-03 6.269001727210206723e-03 -1.516083615118239518e-02
4.799256409976720116e-03 2.349506448173040683e-03 -1.182057203066759835e-02
2.070185936372037627e-03 -2.237584572830418985e-04 -1.019604112259583396e-02
-4.924092467133191209e-04 -5.701605101388924381e-03 -1.445499644988781397e-02
-1.872855255391667542e-03 -6.820970564405646336e-03 -1.230935807943406637e-02
-2.941104153509075184e-03 -5.042069746310664027e-03 -5.470388333216126206e-03
-5.641883478868844198e-03 -8.515479147126707796e-03 -6.032270163758346460e-03
-7.744067507422595573e-03 -1.335768582590006644e-02 -9.886695708942743951e-03
-8.971519405787426946e-03 -1.284991517841642221e-02 -5.244062517911319589e-03
-1.218803493313049685e-02 -1.427130302787432692e-02 -1.567162325486698231e-04
-1.378704398446943362e-02 -1.889158810655480400e-02 -4.437411331070319209e-03
-1.114636861360182064e-02 -1.664926593389398288e-02 -8.126210778700558926e-03
-1.061621906170838459e-02 -1.886033984184279366e-02 -1.494875569285022444e-02
-5.838688753428166074e-03 -1.408546814690435009e-02 -1.761858955361876589e-02
-3.058936956478391662e-03 -1.360838488466521549e-02 -2.431104330322726714e-02
1.990479158495630108e-03 -8.173418658165428410e-03 -2.649430032785366276e-02
3.642300209379204304e-03 -7.881566644439225514e-03 -3.135193697688582609e-02
