PC1 eigenvalue=1.976467 total=4.500448843631422
1.310823278053706992e-02 2.276407500401307626e-02 1.662951152748668587e-02
1.613625152359710047e-02 5.134810691211038995e-03 1.127859316928474936e-02
1.288431533337076364e-02 2.683215408799042873e-03 6.285852882718634058e-03
1.311534224997549028e-02 1.080752476755258810e-02 2.367302266672178645e-03
1.628821044295658549e-02 1.424337338189254377e-02 -4.201848723523517355e-03
2.159331540956773224e-02 2.201584514800292158e-02 -7.416027050549854616e-03
4.057437430154223201e-02 9.925190605580978126e-03 -4.863924836393871201e-03
3.446537951361812457e-02 4.482612963784770276e-03 2.126080302489100418e-03
2.459315094011224612e-02 -7.388199854399620306e-03 1.005475671416980986e-02
4.282215192999228037e-02 -2.142420186002185964e-02 1.798621083387115169e-02
4.027966263926365670e-02 -2.710116343684473503e-02 4.015693136892850568e-02
4.712280616594720362e-02 -3.644632925283407959e-02 4.375006975329517878e-02
3.158265829208890818e-02 -1.908260308786616233e-02 4.556917677529505328e-02
3.452940684115032161e-02 -2.410919503268122571e-02 6.030684006474199693e-02
2.213004457160175700e-02 -2.365793193403813166e-02 6.319954036697200683e-02
2.288529359001460067e-02 -2.254568600660998567e-02 7.452994894495494627e-02
3.975576497158728878e-02 -1.521635733399802001e-02 7.987457642608788988e-02
4.524441506517266898e-02 -2.160185985657274432e-02 6.504226420869314851e-02
5.163571966458409268e-02 -1.941851273814828790e-02 5.185547022970255632e-02
4.514122834496762243e-02 -2.976876578145553481e-02 2.612813015512700787e-02
5.011614401433812926e-02 -3.734903505371718613e-02 2.696786337507902850e-02
2.629061435481730782e-02 -1.864218296292701610e-02 1.781823112806626627e-02
1.860982617543709833e-02 -1.148587616762600412e-02 8.480761406406599201e-03
3.515979391012131767e-03 -7.177160784369497441e-03 1.579563180447268733e-02
-3.019995580643288803e-03 -3.440447738845203024e-03 6.522125805673084815e-03
-7.690343776030644785e-03 -1.548542535134028210e-03 5.133366903205685908e-03
-9.357140282850019350e-03 -2.512051551526188931e-04 3.525592662252294805e-03
-1.017426766488375642e-02 2.402302274608400078e-03 1.783344720215779234e-03
-1.765179594466793900e-02 5.269551731920800799e-03 4.972829000918867204e-03
-1.902375670746235536e-02 9.446277024620759744e-03 7.507039365595500127e-03
-7.845266891731594860e-03 6.942980751286253333e-03 1.303833497733537967e-02
-1.794110687510777819e-04 3.070720470661503134e-03 -3.794028941031496720e-03
1.147815092559944031e-02 -1.679733883588380508e-02 -7.682346298821415148e-03
1.987163924269207474e-02 -2.759774270013105879e-02 -2.513816783156224907e-02
3.238229035559916924e-02 -3.194271879835150485e-02 -5.971195439489813267e-02
1.950482776646557045e-02 -5.690935096745723676e-02 -1.032188793570849306e-01
4.486577757918161491e-02 -5.045594104712482209e-02 -2.029792952424709362e-01
3.736544948361537367e-03 -5.423711793579715293e-03 -1.531276569906825646e-01
-7.780104167940543776e-03 5.197685933554639648e-02 -1.597948460611937627e-01
-5.037040618006796353e-03 -1.066072121773569380e-02 -1.506275068355955593e-01
4.322716336343067345e-02 -1.547518236581872132e-02 -1.121465580398510048e-01
3.917516604786454304e-02 1.540287581424040417e-02 -7.611114669015488221e-02
4.171821989298237637e-02 8.183947009976255682e-02 -8.869074701824061768e-02
4.905172660930986334e-02 9.372676023066885131e-02 -1.096934288258644696e-01
3.691560879811048301e-02 1.109321641947533521e-01 -6.747623179160402995e-02
3.596575728646152215e-02 1.012339491987394036e-01 -6.718364757825787126e-02
2.543354087421707474e-02 8.854838143838254794e-02 -3.027743715792170429e-02
2.299985573789100138e-02 7.856886888497736920e-02 -1.297259857049139382e-02
1.884032537117531075e-02 6.581580228999968363e-02 -2.034699504373547758e-03
-1.056818166833900681e-02 2.446759993094885233e-02 5.552379026357259079e-02
-1.578961784821705794e-02 2.068259128137216532e-02 2.657900669115012895e-02
1.745766483365214158e-02 6.175754038897796061e-02 -1.183161765923689511e-02
2.820958115887856749e-02 6.853207961002323600e-02 -6.668515292165755337e-02
3.238180560653685508e-02 4.125533327676200734e-02 -7.780511997116837386e-02
3.636015552815810570e-02 5.206186885619730476e-02 -9.690317444072836517e-02
3.142202581549711354e-02 3.092170061860016403e-02 -6.888384788903441358e-02
3.050405279211604662e-02 1.847227441117376898e-02 -6.057047430933549387e-02
7.517111030302581556e-03 2.896251347496362274e-02 -2.899987792641059436e-02
1.550562441862395101e-03 -1.592403494947034143e-03 -8.981088134321109709e-03
-2.625901176553304545e-02 9.761163767574326799e-03 2.724979828371644139e-02
-3.535557613186880721e-02 -1.089366507055274796e-02 5.842554366997276122e-02
-1.054193956833709457e-02 -2.378651470390677480e-02 5.403029488657913604e-02
-6.131203196436165077e-03 -3.479993287265233798e-02 6.991620433330968110e-02
1.756808781779892561e-04 -2.689663209029603819e-02 5.936526668222701086e-02
1.093198397740372495e-02 -2.706801323632753928e-02 5.889387696253001875e-02
5.909130335918665565e-03 -1.317646038142308504e-02 5.081155156577031595e-02
1.106190850056047725e-02 -9.249457890508752667e-03 4.744043282299040959e-02
9.585640529204440125e-03 -1.360126424070195669e-02 6.354169807228524092e-02
-1.771267679655635354e-03 -1.923448570153517279e-02 6.407021875768707797e-02
-1.447558781504449353e-02 -2.659629289285524514e-02 8.392753615027671865e-02
-3.317248034520389743e-02 -1.737307810865715979e-02 7.008408168964672114e-02
-3.830890976274654858e-02 -1.760300299821733819e-02 7.461395474671535244e-02
-4.157060617258698243e-02 8.390574581435887537e-04 5.382264037210385960e-02
-2.854884129906469156e-02 1.314367640216596543e-02 2.702212572328733728e-02
-6.840193148950414991e-03 7.114191302907792776e-04 1.040949232255151957e-02
3.089518088943920236e-03 1.130762429482070133e-02 -1.761563088739398833e-02
2.549369031275478675e-02 -8.018420463345068971e-03 -3.651581294740534334e-02
3.934007303317007403e-02 6.463377325610477134e-03 -5.696880473274659046e-02
4.763900441048216083e-02 1.828865759707565567e-03 -6.624456985374130302e-02
2.489981799225925857e-02 7.294216335631603307e-03 -4.117947352772317188e-02
4.231180004804002692e-02 5.436806184472783160e-03 -4.993290626640286417e-02
2.106684428437565620e-02 -1.597810724649325817e-02 -1.506043171644566581e-02
1.388681621680560620e-02 -1.891186879653434724e-02 -7.026071902052408299e-04
1.818118094544382763e-04 -9.976949171972924330e-03 4.375491837685058921e-03
-3.540599144734853185e-03 -5.932287624470689198e-03 1.775637169729028450e-02
-1.229791049564270267e-02 -3.081055639937328792e-04 1.579474401049378932e-02
-1.616802170709040476e-02 3.021007137891093108e-03 1.783223371605503413e-02
-2.053662927408983832e-02 6.051412293680398513e-03 2.511319823384270192e-02
-1.132960387573453756e-02 -1.049114669195055352e-03 3.245915690901143846e-02
-9.314942010219099539e-03 -2.357782621408824678e-03 2.926249594350500277e-02
-2.139480487256222724e-02 -1.623286430402571916e-03 3.346961644664200874e-02
-1.692300912197727478e-02 -1.334485795834646112e-02 4.521125409769868875e-02
-7.742213250137706948e-03 -6.287869168148026502e-03 4.107613536328261206e-02
-1.230394996533157488e-02 -9.415121820771366057e-03 2.949046991329168019e-02
-5.848009752511276749e-03 -2.205002949225948888e-03 1.943206752163400414e-02
-6.316847701877062113e-03 -7.435881162047954136e-03 6.266659432520920933e-03
-4.070573841558830508e-03 -3.024694143948597480e-03 7.969240261523561752e-04
-3.072784091148011401e-04 -2.321137181525154310e-03 -5.827788687035645801e-03
-1.602607736447077399e-03 5.666912709763956453e-03 -1.436712385585972931e-02
-2.425144542236049375e-02 1.374942241223222131e-02 -6.532782634099066656e-03
-1.478956523572066972e-02 -1.979240013628063254e-03 -4.477239963552271870e-03
-1.044580858299217103e-02 -2.450514861162227023e-03 -1.035419214706620851e-03
-1.520105085745720834e-02 2.055838124314055514e-03 4.036258286898213553e-03
